STATE,MURDER,MAN SLAUGHTER,ATTEMPTED MURDER,SUICIDE,ATTEMPTED SUICIDE,GRIEVIOUS HARM WOUNDING,ASSAULT,CHILD STEALING,SLAVE DEALING,RAPE & INDICENT ASSAULT,KIDNAPPING,UNNATURAL OFFENCE,OTHER OFFENCE,ARMED ROBBERY,WOUNDING WITH MENACE,THEFT /STEALING,BURGLARY,HOUSE BREAKING,STORE BREAKING,FALSE PRETENCE & CHEATING/ FRAUD,FORGERY,RECEIVING STOLEN PROPERTY,UNLAWFUL POSSESS,ARSON,OTHER OFFENCE,FORGERY OF CURRENCY,COINING OFFENCE,GAMBLING,BREACH OF PEACE,PERJURY,BRIBERY & CORRUPTION,ESCAPE FROM CUSTODY,OTHER OFFENCE,STATE POPULATION
FCT-ABUJA,91,3,0,2,0,429,217,3,0,132,49,41,216,384,0,2586,32,129,16,518,7,288,0,12,188,0,0,0,11,0,0,0,28,1405201
AKWA-IBOM,81,5,78,0,0,41,341,52,6,83,11,4,0,47,6,310,14,13,0,168,11,8,7,4,5,3,0,4,366,2,0,3,0,2845380
ANAMBRA,41,0,0,2,0,84,0,0,0,0,0,0,0,6,0,484,22,76,7,0,20,19,43,12,341,1,2,0,537,0,0,9,182,3178950
ABIA,97,6,69,6,0,124,8945,68,0,98,104,182,117,88,0,570,23,576,23,544,4,9,49,345,89,4,0,4,243,4,0,6,11,3178950
ADAMAWA,114,0,89,4,0,126,68,0,0,24,9,5,372,45,0,825,0,62,24,106,5,65,28,0,246,0,0,0,37,0,0,6,9,4177828
BAUCHI,58,0,1,0,0,13,3,0,0,33,44,3,41,57,0,33,0,0,0,43,10,4,5,9,25,4,0,0,0,0,0,0,0,4653066
BENUE,51,3,6,3,2,90,76,45,0,23,67,9,56,59,5,811,32,34,90,22,11,5,3,8,420,11,0,6,64,1,0,5,23,1704515
BORNO,123,48,12,45,3,73,39,0,0,97,2,45,194,25,7,357,4,16,44,234,10,4,11,4,191,2,0,0,1,0,0,0,0,4253641
BAYELSA,30,0,19,15,1,31,187,4,0,88,53,2,182,148,2,266,31,11,13,137,12,4,41,7,168,1,0,0,87,1,0,2,0,4171104
C/RIVER,87,0,22,0,0,48,347,6,0,65,31,8,335,112,4,624,28,25,19,131,11,5,31,16,152,0,0,0,49,0,0,1,6,2892988
DELTA,117,2,21,13,0,325,1895,9,0,93,49,141,645,60,11,1586,156,146,370,345,20,19,43,12,341,1,2,0,537,0,0,9,182,4112445
EBONYI,204,12,13,4,0,690,87,6,0,44,98,26,91,370,7,1272,45,66,41,562,40,23,64,22,275,23,13,72,6,3,0,1,34,2176947
EDO,187,5,98,3,54,178,3,8,16,10,2,85,80,1,253,20,36,18,20,5,8,49,345,89,4,0,4,243,2,0,6,11,41,3233366
ENUGU,40,4,31,0,0,72,621,4,0,32,25,1,105,52,30,425,71,71,66,114,29,41,115,1,96,0,0,0,125,0,0,0,0,2398957
GOMBE,73,0,1,1,2,111,44,0,0,52,10,4,110,89,0,458,0,59,8,164,3,35,10,47,99,13,0,1,4,0,0,1,14,3267837
EKITI,78,4,78,2,8,72,11,0,0,51,3,11,109,52,0,335,0,5,2,45,7,3,13,15,77,0,0,0,0,0,0,0,0,2365040
IMO,52,0,43,0,0,38,184,0,0,23,33,0,520,40,0,166,27,31,21,120,0,0,16,6,270,0,0,0,80,0,0,0,0,3927563
JIGAWA,62,0,4,2,0,56,28,0,0,83,5,15,90,44,0,150,1,41,0,15,0,7,7,5,127,0,5,5,20,0,0,2,15,4361002
KADUNA,128,0,0,0,0,47,26,0,0,95,64,25,0,67,0,133,0,40,43,309,43,27,29,0,3,0,0,2,0,0,0,2,0,6113503
KANO,124,0,3,4,1,452,414,0,0,237,43,97,727,36,4,1385,8,135,137,699,10,199,213,22,466,5,3,56,183,0,0,4,38,9401288
KATSINA,52,5,25,23,2,22,150,15,10,2,30,58,208,98,29,498,5,7,11,101,23,1,19,6,104,1,0,0,5,0,0,7,45,5801584
KEBBI,55,0,0,0,0,7,0,0,0,15,8,3,0,30,0,27,0,2,1,20,0,5,9,5,7,4,0,0,6,0,0,1,0,3256541
KOGI,76,0,13,0,0,0,0,0,0,11,46,0,0,37,0,20,0,1,0,7,2,0,22,0,22,2,0,0,0,0,0,0,23,3314043
KWARA,78,0,12,3,1,47,14,3,8,16,10,2,85,80,1,253,20,36,18,20,5,8,6,12,67,3,0,0,11,4,1,1,5,2365353
LAGOS,216,11,43,47,5,6523,8236,65,41,441,98,269,2931,370,77,12724,1213,668,417,5623,403,233,764,222,2275,23,13,72,6183,35,4,18,712,9113605
NIGER,121,0,3,2,1,95,65,1,0,41,30,8,197,58,0,595,0,82,22,137,2,17,25,66,339,2,0,0,21,0,1,18,712,1869377
NASARAWA,51,0,10,3,0,162,112,0,0,31,10,5,82,29,0,0,0,121,45,144,4,54,3,20,61,0,0,0,96,0,0,4,33,3954772
OGUN,105,0,14,20,4,88,150,4,0,43,15,7,68,65,5,127,63,57,34,70,11,25,31,11,47,0,0,0,537,0,0,0,0,3751140
ONDO,108,0,17,0,0,107,686,12,0,27,22,2,301,88,3,1107,89,83,57,485,16,8,203,3,0,0,0,0,279,10,0,0,0,3460877
OYO,30,0,1,10,0,246,660,8,2,83,2,16,0,59,0,978,149,172,157,224,24,4,80,18,0,0,0,6,40,0,0,0,0,3416959
OSUN,25,0,14,2,0,88,144,1,1,2,15,7,19,32,2,279,42,37,49,60,1,1,10,0,1,0,0,0,52,1,0,1,,5580894
PLATEAU,71,1,5,6,0,236,68,0,0,66,10,8,265,44,2,801,9,138,72,254,26,79,86,16,342,1,0,0,0,0,0,1,0,3206531
RIVERS,67,10,3,105,112,0,0,31,23,5,82,29,0,564,87,121,45,144,4,54,3,20,61,0,0,0,0,0,0,0,0,0,0,5198605
SOKOTO,55,0,4,4,0,206,115,0,0,28,27,12,315,60,0,993,0,21,18,124,8,38,30,28,302,0,0,0,22,1,3,0,0,3702676
TARABA,115,0,0,1,0,158,54,0,0,30,14,2,176,51,0,521,1,64,19,109,3,15,14,25,176,3,4,0,1,1,2,3,19,2294800
YOBE,110,0,0,0,0,72,11,0,0,51,3,11,109,32,0,335,0,6,2,45,7,3,13,15,77,3,0,0,0,1,0,7,77,2321339
ZAMFARA,44,0,19,0,0,34,21,0,0,23,9,10,9,46,0,155,0,19,2,21,1,29,6,0,39,1,0,0,0,0,0,0,31,3278873
RAILWAY,2,1,0,1,0,0,3,0,0,1,1,11,2,2,0,18,1,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0
PAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
